model_name,model_path,mmlu.pass@1,mmlu_cot.pass@1,mmlu_pro.pass@1,bbh.pass@1,gsm8k.pass@1,gsm8k.pass@16,gsm8k.pass@2,gsm8k.pass@4,gsm8k.pass@8
xllm_wd0.05_rope128_0300000,/mnt/weka/shrd/k2m/haolong.jia/xllm/checkpoint/k2mobile780M_txt360v2.2_5T_jais64k_bsz16M_seq4k_lr9e-4_cosine_wd0.05_rope128/checkpoint_0300000,0.32064520723543655,0.32819398946019085,0.18071600731382978,0.29440562125633546,0.29894806671721,0.7058377558756633,0.41015921152388174,0.5195569404060686,0.6201037022113595
Llama-3.2-3B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Llama-3.2-3B,0.48615413373210853,0.48160560421562343,0.23786669990858472,0.37191914926289926,0.27449772554965884,0.7452615617892343,0.39799090219863537,0.5252047421873047,0.6440540589896162
Qwen2.5-1.5B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Qwen2.5-1.5B,0.5332683543402407,0.5239710175888342,0.26909332668494973,0.351735257985258,0.6581690674753601,0.9264594389689158,0.7626042456406369,0.8379891526214499,0.8897333396954322
SmolLM2-1.7B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/SmolLM2-1.7B,0.4314605141351563,0.4234894609413943,0.18701175932851324,0.3310522880835381,0.27426080363912053,0.7119029567854435,0.38699772554965883,0.5029630339334662,0.6137219279751501
Llama-3.2-1B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Llama-3.2-1B,0.2772352585101837,0.2762159948725253,0.1171355551861702,0.27390185839348796,0.06851781652767248,0.40636846095526913,0.1211271165024008,0.19837247665147592,0.2965072077278294
Mistral-7B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Mistral-7B-v0.3,0.5537723420921455,0.5498068432671082,0.2828108119338486,0.515596207002457,0.3768479909021986,0.8112206216830933,0.5122693960070761,0.6336431195794351,0.7332760744436256
Qwen2.5-3B,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Qwen2.5-3B,0.5885138503168839,0.5882379121270384,0.3349486827889969,0.39024109336609336,0.7524166034874905,0.9507202426080363,0.8331880212282031,0.8875817510768231,0.9245848583225384
Qwen3-1.7B-Base,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Qwen3-1.7B-Base,0.5548226874599445,0.5518630278430535,0.3391870273414776,0.3348145730958231,0.7186789234268385,0.9575435936315391,0.8263773060399293,0.890600604853827,0.9307346515837797
Qwen3-4B-Base,/mnt/weka/shrd/k2m/haolong.jia/checkpoint/Qwen3-4B-Base,0.6601064587338887,0.6580102186142562,0.46994722845508186,0.5455409244471745,0.8514499620924944,0.9772554965883244,0.9082196108162749,0.9410371660182123,0.962406888032362
